bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
B001260,Vern Buchanan,180.0,1.0,26.0,0.5555555555555556,14.444444444444443,29.88410532808442,58.13932582946625,21.21155966355558,96.49423064950753
B001261,John Barrasso,1320.0,29.0,81.0,2.196969696969697,6.136363636363637,69.4191367185572,99.83321948752526,35.026555885639894,42.623403403956026
B001267,Michael Bennet,486.0,27.0,50.0,5.555555555555555,10.2880658436214,66.7783803779715,91.87219298524455,67.85056386342087,79.16142425227478
B001277,Richard Blumenthal,782.0,160.0,59.0,20.460358056265985,7.544757033248081,99.99999566121583,96.73483541342436,99.99881777051672,56.06375480673498
B001278,Suzanne Bonamici,186.0,7.0,7.0,3.763440860215054,3.763440860215054,37.98620191116468,23.041859944476556,50.437627481210434,22.47093766023291
B001281,Joyce Beatty,146.0,9.0,3.0,6.164383561643835,2.054794520547945,40.831611500213924,17.464170428385355,73.14712049666728,12.158162193445133
B001282,Andy Barr,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
B001285,Julia Brownley,67.0,6.0,6.0,8.955223880597014,8.955223880597014,36.586489164124316,21.561260880381887,90.69202920830236,68.85131953523427
B001287,Ami Bera,162.0,0.0,19.0,0.0,11.728395061728394,28.613247652723473,44.356548298261735,17.376426176168696,87.66226659607538
B001288,Cory Booker,288.0,16.0,39.0,5.555555555555555,13.541666666666666,51.076895311127515,80.2509858608777,67.85056386342087,94.45488506275885
B001291,Brian Babin,358.0,21.0,3.0,5.865921787709497,0.8379888268156425,58.39107061769976,17.464170428385355,70.60561091760705,7.2197535033466655
