,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,party letter,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
97,Ashley Moody,Senate,M001244,Florida,,Republican,1.0,15.57,0.0,5.8,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,2.0,49.67566025565114,0.0,26.880262246198537,R,5.39,29.71710869605092,0.01,48.22750675428802,250.53410673673508,264.02057368111133,10.028953856467899,F
98,Rick Scott,Senate,S001217,Florida,,Republican,9.0,79.06,12.0,28.97,54.0,63.55295270545567,6.428571428571428,33.17828790369223,43.0,44.32894440404793,5.119047619047619,55.220018046478046,6.0,99.94104793865128,0.0,26.880262246198537,R,5.39,29.71710869605092,0.715,93.60232956005575,439.0081922343614,472.6003411459892,68.78698297341792,B
101,Jon Ossoff,Senate,O000174,Georgia,,Democratic,6.0,55.01,17.0,44.82,62.0,72.37638097179835,27.31277533039648,99.99729301032582,6.0,71.84800146510678,2.643171806167401,70.25847858743258,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.422,15.758221831560531,558.3982427165053,567.0426726205895,90.16708321176792,A
103,Raphael G. Warnock,Senate,W000790,Georgia,,Democratic,1.0,15.57,33.0,89.0,35.0,40.46471101327131,6.591337099811676,34.45259844252235,29.0,55.1781534943094,5.4613935969868175,53.02213455779328,1.0,20.578377338260168,1.0,77.44026148862528,D,0.0,7.6016503810867455,-0.409,16.464237911795127,387.1735328387959,393.3039492511507,42.74067626461912,C
105,Mazie K. Hirono,Senate,H001042,Hawaii,,Democratic,4.0,37.09,24.0,67.84,6.0,12.743212219772172,2.4390243902439024,9.864896644464944,73.0,23.355115023007976,29.67479674796748,0.006096817500589324,0.0,5.111406314983323,0.0,26.880262246198537,D,12.59,74.83954744119818,-0.513,11.37802705674254,223.9571197207228,241.99206429072223,7.12142101040124,F
114,Brian Schatz,Senate,S001194,Hawaii,,Democratic,5.0,45.95,19.0,51.57,54.0,63.55295270545567,8.985024958402663,54.47568007667177,51.0,38.26535018764555,8.48585690515807,33.95948613316682,1.0,20.578377338260168,1.0,77.44026148862528,D,12.59,74.83954744119818,-0.443,14.660378076740333,414.13780460346015,448.16739887395346,61.12262653588816,B
121,Mike Crapo,Senate,C000880,Idaho,,Republican,7.0,63.81,14.0,35.02,60.0,70.26987161101161,14.66992665036675,90.81994661521037,3.0,73.78687810750579,0.7334963325183375,79.97863106835878,3.0,78.95549716117105,0.0,26.880262246198537,R,18.04,94.28662351073395,0.504,85.39058765950351,452.9206672719519,514.9626086779961,80.21289104428386,B
137,James E. Risch,Senate,R000584,Idaho,,Republican,6.0,55.01,15.0,38.21,18.0,22.144363906019287,5.157593123209169,23.973554384360973,1.0,75.04034628523107,0.2865329512893982,81.94266827960703,3.0,78.95549716117105,0.0,26.880262246198537,R,18.04,94.28662351073395,0.549,87.56132032999842,382.63455536485304,435.4638690645503,56.9354740700455,B
145,Tammy Duckworth,Senate,D000622,Illinois,,Democratic,3.0,28.88,25.0,70.82,31.0,35.75187499783156,8.683473389355742,51.9083291199239,102.0,9.812945560222186,28.57142857142857,0.012431762280051828,0.0,5.111406314983323,0.0,26.880262246198537,D,6.34,35.42183048893204,-0.337,20.737718891322643,236.24051221744386,247.05812826238233,7.72487437941209,F
151,Richard J. Durbin,Senate,D000563,Illinois,,Democratic,12.0,93.21,26.0,73.66,163.0,99.99000169886307,6.854499579478554,36.550202037444976,220.0,0.016433821814987315,9.251471825063078,29.547668456089216,1.0,20.578377338260168,1.0,77.44026148862528,D,6.34,35.42183048893204,-0.348,20.045419326044968,518.6364978627688,542.2056950141625,86.00174819085605,A
172,Jim Banks,Senate,B001299,Indiana,,Republican,4.0,37.09,5.0,12.55,5.0,12.109015738695101,2.4752475247524752,10.000350760064636,7.0,71.18667420081238,3.4653465346534658,65.49838529287433,3.0,78.95549716117105,0.0,26.880262246198537,R,9.29,54.71764874789382,0.647,91.48298390999723,298.9436937904942,328.9753203872358,23.306638786973092,C
176,Todd Young,Senate,Y000064,Indiana,,Republican,6.0,55.01,14.0,35.02,61.0,71.33230087695233,16.31016042780749,95.36162639721717,3.0,73.78687810750579,0.8021390374331552,79.6660200024083,3.0,78.95549716117105,0.0,26.880262246198537,R,9.29,54.71764874789382,0.439,81.82956102840784,437.925066774872,479.8049047453193,70.9165843674122,B
183,Joni Ernst,Senate,E000295,Iowa,,Republican,5.0,45.95,11.0,26.14,15.0,19.48535904628688,2.245508982035928,9.163957127750416,14.0,66.365075279786,2.095808383233533,73.25091336751925,3.0,78.95549716117105,0.0,26.880262246198537,R,6.09,33.881739743180596,0.534,86.86431189572691,334.96598795993043,360.863513413112,32.33951318724928,C
188,Chuck Grassley,Senate,G000386,Iowa,,Republican,15.0,98.52,22.0,61.55,140.0,99.86826475741525,13.23251417769376,84.65981061618257,29.0,55.1781534943094,2.74102079395085,69.70784012368816,3.0,78.95549716117105,0.0,26.880262246198537,R,6.09,33.881739743180596,0.36,76.83224253652017,546.0853540103772,585.5661570350028,92.62328457640233,A
213,Roger Marshall,Senate,M001198,Kansas,,Republican,5.0,45.95,14.0,35.02,42.0,49.01261993444431,11.38211382113821,73.4250793492584,2.0,74.41761931730336,0.5420054200542005,80.8353197234722,3.0,78.95549716117105,0.0,26.880262246198537,R,8.03,46.34206461206777,0.605,89.93361040084994,398.57264968561975,434.96586786658435,56.76939943688002,B
217,Jerry Moran,Senate,M000934,Kansas,,Republican,12.0,93.21,18.0,48.19,78.0,86.1947069589778,15.853658536585366,94.33148508782665,1.0,75.04034628523107,0.2032520325203252,82.29479988590569,3.0,78.95549716117105,0.0,26.880262246198537,R,8.03,46.34206461206777,0.414,80.32627599845938,536.34319596515,582.7396728013061,92.28222320927318,A
231,Mitch McConnell,Senate,M000355,Kentucky,,Republican,4.0,37.09,4.0,10.88,13.0,17.825654124122998,6.701030927835052,35.321578245039355,4.0,73.14826202894879,2.061855670103093,73.43141020116326,3.0,78.95549716117105,0.0,26.880262246198537,R,14.94,85.5829856734289,0.403,79.64163583747157,317.7648777567975,357.61380207549917,31.355505892561254,C
251,Rand Paul,Senate,P000603,Kentucky,,Republican,2.0,21.64,4.0,10.88,23.0,27.006257122968226,5.665024630541872,27.4754581446017,9.0,69.8424751338568,2.2167487684729066,72.60299556070063,2.0,49.67566025565114,0.0,26.880262246198537,R,14.94,85.5829856734289,0.891,97.21473034880367,256.19396807995975,290.57272654170754,14.580004184672985,F
258,Bill Cassidy,Senate,C001075,Louisiana,,Republican,13.0,95.72,24.0,67.84,52.0,61.204517724643914,10.297029702970296,65.2976239927029,6.0,71.84800146510678,1.188118811881188,77.85468377737087,3.0,78.95549716117105,0.0,26.880262246198537,R,10.75,64.14250312503815,0.465,83.3144652128217,530.2042348692117,586.2997028020695,92.70988749942599,A
266,John Kennedy,Senate,K000393,Louisiana,,Republican,5.0,45.95,12.0,28.97,22.0,25.992898490007914,2.576112412177986,10.384674804268833,37.0,48.97399502758587,4.332552693208431,60.19843127781617,3.0,78.95549716117105,0.0,26.880262246198537,R,10.75,64.14250312503815,0.56,88.05573949557204,326.4691918262803,361.7834860376186,32.620377424454226,C
270,Susan M. Collins,Senate,C001035,Maine,,Republican,3.0,28.88,32.0,87.32,4.0,11.497356706356532,16.666666666666664,96.05680362215112,0.0,75.65492745488088,0.0,83.13583541209483,3.0,78.95549716117105,0.0,26.880262246198537,R,0.0,7.6016503810867455,0.118,57.752097497689405,411.0049609504397,425.997476256899,53.76093207522638,B
284,"Angus S. King, Jr.",Senate,K000383,Maine,,Independent,5.45,50.03,18.54,50.01,30.0,34.603790603194234,8.695652173913043,52.012242697064615,15.0,65.65118397004207,4.3478260869565215,60.10304483373147,2.0,49.67566025565114,2.0,98.31351234111276,I,0.0,7.6016503810867455,-0.163,33.4002043291553,502.58211774243847,514.7957440016911,80.17348554301249,B
290,Angela D. Alsobrooks,Senate,A000382,Maryland,,Democratic,0.0,10.75,9.0,20.93,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,0.0,5.111406314983323,0.0,26.880262246198537,D,15.32,86.97496923321893,0.01,48.22750675428802,211.51711065660444,235.01427628968142,6.350349147181501,F
291,Chris Van Hollen,Senate,V000128,Maryland,,Democratic,4.0,37.09,27.0,76.35,29.0,33.46968753912732,4.647435897435898,20.713716121624635,116.0,5.878186059475143,18.58974358974359,2.0255408424969645,0.0,5.111406314983323,0.0,26.880262246198537,D,15.32,86.97496923321893,-0.393,17.36087803386246,240.5411514969926,263.5502135443987,9.958946464722363,F
302,Edward J. Markey,Senate,M000133,Massachusetts,,Democratic,7.0,63.81,16.0,41.48,25.0,29.090507753003475,3.16055625790139,12.823280537692627,100.0,10.504599167775208,12.64222503160556,13.871282966866117,0.0,5.111406314983323,0.0,26.880262246198537,D,13.99,81.67826796390969,-0.515,11.292641177687074,261.20409060860186,284.0136303492941,13.344144429207333,F
327,Elizabeth Warren,Senate,W000817,Massachusetts,,Democratic,2.0,21.64,16.0,41.48,53.0,62.38446763395936,5.650319829424308,27.37053750515448,159.0,0.8131442900686126,16.95095948827292,3.7266562418012295,0.0,5.111406314983323,0.0,26.880262246198537,D,13.99,81.67826796390969,-0.747,4.211377270993987,190.86311759947168,206.85438476085326,3.8787077073727096,F
