,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,party letter,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
509,Jeff Merkley,Senate,M001176,Oregon,,Democratic,6.0,55.01,32.0,87.32,70.0,79.99896202058882,7.216494845360824,39.50136381059019,102.0,9.812945560222186,10.515463917525771,22.90483777300428,0.0,5.111406314983323,0.0,26.880262246198537,D,7.65,43.83086612143544,-0.446,14.507838313961791,332.37207017486145,349.351226012287,28.91384490469161,C
517,Ron Wyden,Senate,W000779,Oregon,,Democratic,1.0,15.57,18.0,48.19,37.0,42.87900493330123,6.981132075471698,37.57454615965198,57.0,33.89126303105532,10.754716981132075,21.748990957694236,0.0,5.111406314983323,0.0,26.880262246198537,D,7.65,43.83086612143544,-0.331,21.121221199767543,206.3032248249531,217.52436187555261,4.702529476098888,F
540,John Fetterman,Senate,F000479,Pennsylvania,,Democratic,5.0,45.95,33.0,89.0,7.0,13.400147425647347,14.285714285714285,89.38885461126911,0.0,75.65492745488088,0.0,83.13583541209483,2.0,49.67566025565114,2.0,98.31351234111276,D,0.0,7.6016503810867455,-0.341,20.484353512592442,558.01041121696,567.9674525355754,90.30241226971778,A
541,David McCormick,Senate,M001243,Pennsylvania,,Republican,1.0,15.57,4.0,10.88,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,3.0,78.95549716117105,0.0,26.880262246198537,R,0.51,8.895060380658393,0.01,48.22750675428802,284.87312159393963,294.2764454092378,15.310824561037112,F
542,Jack Reed,Senate,R000122,Rhode Island,,Democratic,5.45,50.03,18.54,50.01,49.0,57.60629738700332,8.006535947712418,46.13228908118509,61.0,31.08738561863622,9.967320261437909,25.67852915937855,1.0,20.578377338260168,1.0,77.44026148862528,D,7.96,45.878075615200835,-0.367,18.882832349454613,405.83647043040224,428.28713772443035,54.53175351175232,B
559,Sheldon Whitehouse,Senate,W000802,Rhode Island,,Democratic,2.0,21.64,21.0,58.27,36.0,41.6679291709661,2.2929936305732483,9.332437422928425,209.0,0.0366084557040014,13.312101910828025,11.613831330864455,1.0,20.578377338260168,1.0,77.44026148862528,D,7.96,45.878075615200835,-0.356,19.55075913771082,308.38995696092627,325.5529236098642,22.427832936935125,C
568,Lindsey Graham,Senate,G000359,South Carolina,,Republican,4.0,37.09,9.0,20.93,11.0,16.25796641173857,6.547619047619048,34.10851302393759,2.0,74.41761931730336,1.1904761904761905,77.84334487648772,3.0,78.95549716117105,0.0,26.880262246198537,R,8.28,48.00279351397447,0.367,77.30379110909709,329.2263981573703,357.75540932284696,31.39811564307501,C
583,Tim Scott,Senate,S001184,South Carolina,,Republican,3.0,28.88,6.0,14.39,25.0,29.090507753003475,7.102272727272728,38.56274245525335,3.0,73.78687810750579,0.8522727272727272,79.43587265206826,0.0,5.111406314983323,0.0,26.880262246198537,R,8.28,48.00279351397447,0.634,91.02380233919325,241.5534459859794,264.14224273712273,10.04712115007791,F
590,Mike Rounds,Senate,R000605,South Dakota,,Republican,10.0,84.99,24.0,67.84,10.0,15.508831366318704,4.065040650406504,17.332558163332667,0.0,75.65492745488088,0.0,83.13583541209483,3.0,78.95549716117105,0.0,26.880262246198537,R,14.57,84.1344746068543,0.346,75.87297054177662,466.47416881175945,523.4171183567831,82.14704859468345,B
595,John Thune,Senate,T000250,South Dakota,,Republican,3.0,28.88,5.0,12.55,114.0,98.62015788802974,8.755760368663594,52.52489266250434,5.0,72.50191821081236,0.3840245775729646,81.52491176791759,3.0,78.95549716117105,0.0,26.880262246198537,R,14.57,84.1344746068543,0.432,81.4160653822053,355.73680442549806,400.14787902814027,45.02966337571841,C
608,Marsha Blackburn,Senate,B001243,Tennessee,,Republican,21.0,99.98,25.0,70.82,25.0,29.090507753003475,3.5765379113018603,14.784765078772189,23.0,59.75757463628996,3.290414878397711,66.53530658011145,3.0,78.95549716117105,0.0,26.880262246198537,R,14.26,82.84981573109387,0.631,90.91527073894656,488.70840612875725,551.413336050559,87.66743447768455,A
619,Bill Hagerty,Senate,H000601,Tennessee,,Republican,3.0,28.88,5.0,12.55,4.0,11.497356706356532,2.515723270440252,10.153308263856143,13.0,67.07311440323596,8.176100628930817,35.813560948451716,3.0,78.95549716117105,0.0,26.880262246198537,R,14.26,82.84981573109387,0.681,92.6004847696893,265.4238418726342,299.70334647584065,16.424796412945437,C
621,John Cornyn,Senate,C001056,Texas,,Republican,13.0,95.72,25.0,70.82,71.0,80.85389146055445,6.283185840707965,32.05622170556319,29.0,55.1781534943094,2.566371681415929,70.6874366990998,3.0,78.95549716117105,0.0,26.880262246198537,R,5.92,32.84947384848928,0.471,83.64569406723076,514.4385456542136,552.8528658094282,87.91474099768347,A
632,Ted Cruz,Senate,C001098,Texas,,Republican,12.0,93.21,15.0,38.21,39.0,45.32025015206532,9.653465346534654,60.08547079921118,11.0,68.47076816589363,2.722772277227723,69.810878106802,3.0,78.95549716117105,0.0,26.880262246198537,R,5.92,32.84947384848928,0.785,95.33047554500513,479.27021997717515,517.8585235271668,80.88920837395916,B
638,John R. Curtis,Senate,C001114,Utah,,Republican,5.0,45.95,9.0,20.93,13.0,17.825654124122998,8.96551724137931,54.310043692045774,0.0,75.65492745488088,0.0,83.13583541209483,3.0,78.95549716117105,0.0,26.880262246198537,R,11.01,65.75097072254248,0.446,82.23725180997977,361.11612159176786,399.708455841979,44.8821143588192,C
642,Mike Lee,Senate,L000577,Utah,,Republican,3.0,28.88,5.0,12.55,16.0,20.349338184641464,4.545454545454546,20.095008797575854,11.0,68.47076816589363,3.125,67.50436582258791,3.0,78.95549716117105,0.0,26.880262246198537,R,11.01,65.75097072254248,0.891,97.21473034880367,291.3501204748145,324.6684354156886,22.203811101751096,C
649,Bernard Sanders,Senate,S000033,Vermont,,Independent,1.0,15.57,39.0,95.87,26.0,30.160079951791392,3.3942558746736298,13.901801828388221,32.0,52.85824322222899,4.177545691906006,61.1629520697107,0.0,5.111406314983323,0.0,26.880262246198537,I,0.0,7.6016503810867455,-0.542,10.184456151993205,264.9361632218972,268.29923067672195,10.682329355543029,F
666,Peter Welch,Senate,W000800,Vermont,,Democratic,11.0,89.68,28.0,78.89,73.0,82.49527327305147,7.635983263598327,42.99706139019756,115.0,6.110105265891996,12.02928870292887,16.18360464208788,0.0,5.111406314983323,0.0,26.880262246198537,D,16.86,91.65607862444422,-0.41,16.409212206193498,391.11481377772236,430.1718068886504,55.16496810162095,B
675,Tim Kaine,Senate,K000384,Virginia,,Democratic,5.45,50.03,18.54,50.01,48.0,56.391040963374515,5.9405940594059405,29.477531043782534,76.0,21.60337580954661,9.405940594059404,28.690475280675198,1.0,20.578377338260168,1.0,77.44026148862528,D,3.49,19.773216277307483,-0.247,26.90939460646218,393.6433397777807,406.7232866534713,47.24462735406816,B
681,Mark R. Warner,Senate,W000805,Virginia,,Democratic,5.0,45.95,34.0,90.51,37.0,42.87900493330123,7.708333333333334,43.6063846786082,40.0,46.6457570658433,8.333333333333332,34.8679170938738,2.0,49.67566025565114,2.0,98.31351234111276,D,3.49,19.773216277307483,-0.207,29.921254366845417,512.7469506671506,530.5566229865901,83.68415884237373,B
689,Maria Cantwell,Senate,C000127,Washington,,Democratic,4.0,37.09,20.0,54.94,52.0,61.204517724643914,12.410501193317424,80.12045856525035,4.0,73.14826202894879,0.954653937947494,78.96109852215633,1.0,20.578377338260168,1.0,77.44026148862528,D,9.58,56.62933013333748,-0.305,22.830381971107776,451.3641132571293,482.0769681939638,71.57381673947884,B
702,Patty Murray,Senate,M001111,Washington,,Democratic,5.0,45.95,17.0,44.82,49.0,57.60629738700332,4.929577464788732,22.48308544308702,195.0,0.09531892089046368,19.61770623742455,1.3385551870347845,1.0,20.578377338260168,1.0,77.44026148862528,D,9.58,56.62933013333748,-0.352,19.79715610569904,353.0070566927047,376.4918777494331,37.23541766912044,C
718,Shelley Moore Capito,Senate,C001047,West Virginia,,Republican,6.0,55.01,29.0,81.26,52.0,61.204517724643914,11.659192825112108,75.33444449631672,1.0,75.04034628523107,0.2242152466367713,82.20657359736501,3.0,78.95549716117105,0.0,26.880262246198537,R,20.96,98.06224595605829,0.281,71.15019304798741,471.0226000478265,533.9688085662625,84.38746976507704,A
730,James C. Justice,Senate,J000312,West Virginia,,Republican,0.0,10.75,5.0,12.55,42.8,50.0,8.46,50.0,8.46,70.20818225322733,5.93,50.0,3.0,78.95549716117105,0.0,26.880262246198537,R,20.96,98.06224595605829,0.01,48.22750675428802,276.992288779515,310.8340984687432,18.86971745616743,C
731,Tammy Baldwin,Senate,B001230,Wisconsin,,Democratic,4.0,37.09,22.0,61.55,47.0,55.169720315487794,9.4188376753507,58.13383779313565,28.0,55.947932887453256,5.61122244488978,52.05691701774593,1.0,20.578377338260168,1.0,77.44026148862528,D,0.0,7.6016503810867455,-0.491,12.347736711115942,421.85687984115873,427.66817719359307,54.323534536287355,B
744,Ron Johnson,Senate,J000293,Wisconsin,,Republican,2.0,21.64,4.0,10.88,8.0,14.079985556772007,3.864734299516908,16.255850921871524,6.0,71.84800146510678,2.898550724637681,68.81190515031288,3.0,78.95549716117105,0.0,26.880262246198537,R,0.25,8.216562862511228,0.642,91.3085038052915,272.42776401536486,287.1036696275225,13.917094389104234,F
751,John Barrasso,Senate,B001261,Wyoming,,Republican,7.0,63.81,11.0,26.14,81.0,88.13833989313295,6.136363636363637,30.939474925353366,29.0,55.1781534943094,2.196969696969697,72.70948699094858,3.0,78.95549716117105,0.0,26.880262246198537,R,23.23,99.27722980821278,0.538,87.0527645729511,410.10155291753495,468.6655359997999,67.59617249698393,B
760,Cynthia M. Lummis,Senate,L000571,Wyoming,,Republican,2.0,21.64,14.0,35.02,36.0,41.6679291709661,9.022556390977442,54.79413125520599,6.0,71.84800146510678,1.5037593984962403,76.30722922873818,3.0,78.95549716117105,0.0,26.880262246198537,R,23.23,99.27722980821278,0.686,92.75490972844392,333.47032189824904,382.0418364819538,39.03007582078083,C
