,Name,Chamber,bioguide_id,State,District,Party,A: num_bills_with_cross_party_cosponsors,norm_A,B: num_cross_party_cosponsored_bills,norm_B,C: outcome_bipartisanship,norm_C,D: outcome_bipartisanship_pct,norm_D,E: attack_personal,norm_E,F: attack_personal_pct,norm_F,G: Vote for Cosponsored Bill,norm_G,H: Vote for Other Party,norm_H,M: 2025 Cook PVI Number,norm_M,N: nominate_dim1,norm_N,score_T,score_S,norm_S,Grade
50,Yassamin Ansari,House,A000381,Arizona,3,Democratic,0.0,17.96,3.0,29.17,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,1.0,8.426801580033171,2.0,53.7526008847401,22.0,85.90416025092011,0.01,52.65764643003651,282.35780810196877,314.04766731015565,19.747517469514612,C
51,Greg Stanton,House,S001211,Arizona,4,Democratic,5.0,79.97,18.0,67.79,48.0,98.57624476636498,13.872832369942197,95.86968173928476,2.0,69.38862973503694,0.5780346820809248,77.16070315796672,5.0,56.41653394054272,8.0,98.83389295237525,4.0,15.168351001563051,-0.282,28.020850341820765,652.3411283207923,671.3756440921634,98.82329943778007,A
54,Andy Biggs,House,B001302,Arizona,5,Republican,0.0,17.96,3.0,29.17,16.0,47.24116139220843,2.831858407079646,18.4241703733495,35.0,3.844981464641395,6.1946902654867255,19.598862578949472,7.0,82.4013525403751,0.0,26.42050798688046,10.0,37.16503994366705,0.823,96.94888151772273,244.97259589941297,265.951921798589,10.204374643232029,F
58,Juan Ciscomani,House,C001133,Arizona,6,Republican,9.0,98.77,22.0,76.77,38.0,93.11569706982918,8.278867102396514,65.56737042910602,0.0,74.04805385774985,0.0,81.8280569744659,7.0,82.4013525403751,0.0,26.42050798688046,0.0,6.718673885956637,0.288,75.31527204011796,566.8763339896176,621.6338245583831,96.64485081869958,A
59,Raúl M. Grijalva,House,G000551,Arizona,7,Democratic,0.0,17.96,10.0,46.93,2.0,14.504832801059974,1.7241379310344829,12.227478483261661,3.0,66.92818611510303,2.586206896551724,56.828942233418566,0.0,3.907365458393837,0.0,26.42050798688046,13.0,50.933113219618,-0.598,9.94932452310922,214.8990090240575,226.91353457170098,5.366138109899576,F
70,Abraham Hamadeh,House,H001098,Arizona,8,Republican,1.0,28.58,2.0,26.9,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,7.0,82.4013525403751,0.0,26.42050798688046,8.0,28.726124630611704,0.01,52.65764643003651,320.5809952309711,338.23056520371233,26.11389166040223,C
71,Paul A. Gosar,House,G000565,Arizona,9,Republican,1.0,28.58,1.0,24.72,17.0,50.05634776098249,2.9982363315696645,19.5002177235691,39.0,2.0435929532452324,6.878306878306878,14.667530130362893,7.0,82.4013525403751,0.0,26.42050798688046,15.0,60.15302407259926,0.701,94.54467611549686,260.36363816034617,288.33329627529616,14.12181955269976,F
78,"Eric A. ""Rick"" Crawford",House,C001087,Arkansas,1,Republican,1.0,28.58,5.0,33.95,2.0,14.504832801059974,12.5,92.04514246059298,0.0,74.04805385774985,0.0,81.8280569744659,7.0,82.4013525403751,0.0,26.42050798688046,23.0,88.35618780133323,0.46,85.69388078044908,357.6966146892619,404.6275294800233,47.56942879109756,B
85,J. French Hill,House,H001072,Arkansas,2,Republican,2.0,41.52,2.0,26.9,48.0,98.57624476636498,12.93800539083558,93.48157641383722,3.0,66.92818611510303,0.8086253369272237,75.12581611448455,7.0,82.4013525403751,0.0,26.42050798688046,8.0,28.726124630611704,0.437,84.50794608231999,412.3092603167027,441.57501188495814,60.30153035019892,B
90,Steve Womack,House,W000809,Arkansas,3,Republican,4.0,68.75,3.0,29.17,22.0,63.85253062129688,7.913669064748201,62.30590227948659,0.0,74.04805385774985,0.0,81.8280569744659,7.0,82.4013525403751,0.0,26.42050798688046,13.0,50.933113219618,0.347,79.26228110867736,443.0202046344096,483.14199887391044,73.35407526637167,B
97,Bruce Westerman,House,W000821,Arkansas,4,Republican,3.0,55.46,1.0,24.72,61.0,99.90606193504674,9.775641025641026,77.57474344249631,1.0,71.76457921234285,0.1602564102564102,80.59793198843595,7.0,82.4013525403751,0.0,26.42050798688046,20.0,80.01354822493076,0.545,89.53614230998863,435.92880842267687,490.32471107201957,75.36998251062259,B
102,Doug LaMalfa,House,L000578,California,1,Republican,4.0,68.75,10.0,46.93,28.0,78.17887609522671,1.98722498225692,13.546988234556634,25.0,14.022470141353915,1.7743080198722498,65.6647648137503,7.0,82.4013525403751,0.0,26.42050798688046,12.0,46.2726462499299,0.541,89.37401270195808,405.4698778091807,442.3512770348367,60.562241310093626,B
108,Jared Huffman,House,H001068,California,2,Democratic,2.0,41.52,8.0,41.61,58.0,99.81156065699578,12.008281573498964,90.16064269962459,17.0,29.889328421811033,3.5196687370600417,46.258527397936014,1.0,8.426801580033171,1.0,39.43050374901458,24.0,90.48921902024226,-0.43,18.111841630972812,345.0973838060818,379.4501511340023,38.95586704439943,C
114,Kevin Kiley,House,K000401,California,3,Republican,1.0,28.58,4.0,31.52,8.0,26.29814210764768,2.5806451612903225,16.871055852251832,2.0,69.38862973503694,0.6451612903225806,76.57817371119594,7.0,82.4013525403751,0.0,26.42050798688046,2.0,10.326622060723977,0.255,72.94369877641658,318.5371676886512,333.4442202361523,24.77562700885867,C
115,Mike Thompson,House,T000460,California,4,Democratic,3.0,55.46,18.0,67.79,8.0,26.29814210764768,3.018867924528302,19.63626511664158,2.0,69.38862973503694,0.7547169811320755,75.61002009430578,3.0,27.16957829049509,3.0,67.5992579029909,17.0,68.83674261864982,-0.394,20.295543170537627,436.62360713749683,471.1101106372147,69.80004880704226,B
128,Tom McClintock,House,M001177,California,5,Republican,1.0,28.58,0.0,22.64,5.0,19.87637653978264,2.73224043715847,17.797937777567835,7.0,56.43742275034882,3.825136612021858,42.82031749759477,7.0,82.4013525403751,0.0,26.42050798688046,8.0,28.726124630611704,0.676,93.90281775463856,283.584073330291,305.04501654205967,17.640233814918837,C
136,Ami Bera,House,B001287,California,6,Democratic,2.0,41.52,12.0,52.3,19.0,55.67188160600707,11.728395061728394,88.95164611198946,0.0,74.04805385774985,0.0,81.8280569744659,2.0,16.05237260234553,2.0,53.7526008847401,8.0,28.726124630611704,-0.244,30.932034028391353,409.19158578857673,427.2746383076088,55.42804002462709,B
142,Doris O. Matsui,House,M001163,California,7,Democratic,3.0,55.46,12.0,52.3,9.0,28.652703859175904,7.6923076923076925,60.28357378582365,5.0,61.79114221889526,4.273504273504273,37.87784184945613,2.0,16.05237260234553,2.0,53.7526008847401,16.0,64.58979055379397,-0.434,17.87863796143717,381.1537343380357,409.1796290196656,49.151269644639065,B
152,John Garamendi,House,G000559,California,8,Democratic,2.0,41.52,9.0,44.26,9.0,28.652703859175904,2.601156069364162,16.994616243971155,25.0,14.022470141353915,7.225433526011561,12.513451798619846,1.0,8.426801580033171,1.0,39.43050374901458,24.0,90.48921902024226,-0.312,25.82050985282722,250.7828295735694,276.71364222633025,11.976406930416816,F
160,Josh Harder,House,H001090,California,9,Democratic,6.0,88.33,37.0,95.92,5.0,19.87637653978264,6.849315068493151,52.37240242160729,1.0,71.76457921234285,1.36986301369863,69.79653396197672,6.0,70.75199055457321,9.0,99.5736213518434,1.0,8.37753182204899,-0.328,24.68472795988203,649.4048992219167,696.0035261204514,99.34192308610325,A
163,Mark DeSaulnier,House,D000623,California,10,Democratic,0.0,17.96,5.0,33.95,8.0,26.29814210764768,2.6755852842809364,17.44784477218781,9.0,50.96287062308824,3.0100334448160537,52.044581855464145,1.0,8.426801580033171,1.0,39.43050374901458,18.0,72.84683167559905,-0.515,13.566606094638267,230.6141588919792,248.97799543355998,7.809868562765924,F
168,Nancy Pelosi,House,P000197,California,11,Democratic,2.61,50.01,2.0,26.9,7.0,24.046665099887093,4.487179487179487,30.704176318164713,6.0,59.13559933815149,3.8461538461538463,42.58544585699096,0.0,3.907365458393837,0.0,26.42050798688046,36.0,99.66706721415513,-0.49,14.813990497696839,262.0113988012149,290.06602368247513,14.462788259505189,F
187,Lateefah Simon,House,S001231,California,12,Democratic,2.61,50.01,3.0,29.17,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,1.0,8.426801580033171,1.0,39.43050374901458,39.0,99.89092002213083,0.01,52.65764643003651,317.82760059028885,357.94371873047425,31.990264058279983,C
188,Adam Gray,House,G000605,California,13,Democratic,2.61,50.01,3.0,29.17,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,6.0,70.75199055457321,11.0,99.96032790128085,0.0,6.718673885956637,0.01,52.65764643003651,501.1192656232253,517.6800031011516,82.24320086661064,B
189,Eric Swalwell,House,S001193,California,14,Democratic,1.0,28.58,11.0,49.61,4.0,17.965866916478536,2.5316455696202533,16.57821954830191,29.0,8.768131579265726,18.35443037974684,0.0007789077072772876,3.0,27.16957829049509,5.0,88.12303007801532,20.0,80.01354822493076,-0.36,22.495785577284956,331.933398363416,362.22611861859383,33.33667453831595,C
195,Kevin Mullin,House,M001225,California,15,Democratic,1.0,28.58,22.0,76.77,9.0,28.652703859175904,6.569343065693431,49.708108874460756,1.0,71.76457921234285,0.7299270072992701,75.8309641214353,2.0,16.05237260234553,2.0,53.7526008847401,26.0,93.8688831410851,-0.479,15.386423037273495,370.56731450019294,408.2029071732605,48.81166418518746,B
196,Sam Liccardo,House,L000607,California,16,Democratic,0.0,17.96,2.0,26.9,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,2.0,16.05237260234553,3.0,67.5992579029909,26.0,93.8688831410851,0.01,52.65764643003651,315.4146578836729,353.32677631238545,30.564834203571177,C
197,Ro Khanna,House,K000389,California,17,Democratic,1.0,28.58,21.0,74.66,35.0,89.8419790115273,9.45945945945946,75.25223199780356,4.0,64.39232862901818,1.0810810810810811,72.6023922952934,1.0,8.426801580033171,2.0,53.7526008847401,21.0,83.12368300934754,-0.477,15.49205391768001,398.8873390263028,435.1341158336051,58.121603490153305,B
201,Zoe Lofgren,House,L000397,California,18,Democratic,1.0,28.58,7.0,39.01,4.0,17.965866916478536,7.017543859649122,53.96898829443047,3.0,66.92818611510303,5.263157894736842,27.73797314613251,3.0,27.16957829049509,3.0,67.5992579029909,17.0,68.83674261864982,-0.398,20.045419326044968,341.91746078483084,368.88088446786276,35.471693564557604,C
216,Jimmy Panetta,House,P000613,California,19,Democratic,9.0,98.77,92.0,100.0,74.0,99.99717338021344,12.29235880398671,91.28566837767163,5.0,61.79114221889526,0.8305647840531563,74.92730078433398,3.0,27.16957829049509,6.0,93.86426109559211,18.0,72.84683167559905,-0.292,27.27740972911836,676.5252283987767,771.7866195477878,99.91554774946309,A
220,Vince Fong,House,F000480,California,20,Republican,4.0,68.75,2.0,26.9,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,6.0,70.75199055457321,0.0,26.42050798688046,15.0,60.15302407259926,0.473,86.33633397041987,389.3198994883814,429.5448952060275,56.209239402480904,B
221,Jim Costa,House,C001059,California,21,Democratic,6.0,88.33,47.0,99.21,24.0,68.99690820975735,10.85972850678733,84.53380331039655,3.0,66.92818611510303,1.3574660633484164,69.9195970913062,6.0,70.75199055457321,8.0,98.83389295237525,4.0,15.168351001563051,-0.197,34.70366508599831,689.5115440061498,747.5313152719905,99.82975813130692,A
231,David G. Valadao,House,V000129,California,22,Republican,5.0,79.97,20.0,72.46,63.0,99.94229749576093,14.928909952606634,97.65834621810502,0.0,74.04805385774985,0.0,81.8280569744659,7.0,82.4013525403751,0.0,26.42050798688046,1.0,8.37753182204899,0.258,73.16390830534321,544.4257052731516,597.34794539034,94.73032302798042,A
236,Jay Obernolte,House,O000019,California,23,Republican,6.0,88.33,14.0,57.63,12.0,36.25335371477062,7.272727272727272,56.37782214402193,0.0,74.04805385774985,0.0,81.8280569744659,7.0,82.4013525403751,0.0,26.42050798688046,8.0,28.726124630611704,0.316,77.23676022594039,493.8533563643838,527.1116660646989,84.30090785648791,A
238,Salud O. Carbajal,House,C001112,California,24,Democratic,3.0,55.46,37.0,95.92,37.0,92.1295822456385,11.935483870967742,89.85593017635507,12.0,42.749370880121596,3.870967741935484,42.308484662021115,3.0,27.16957829049509,3.0,67.5992579029909,13.0,50.933113219618,-0.319,25.320294751883182,502.7933713391406,561.5060232898521,90.4353847499324,A
242,Raul Ruiz,House,R000599,California,25,Democratic,2.61,50.01,14.0,57.63,6.0,21.904465909329257,3.9735099337748343,26.53796769041809,2.0,69.38862973503694,1.3245033112582782,70.24570878692133,2.0,16.05237260234553,2.0,53.7526008847401,3.0,12.585644586546668,-0.255,30.075780765254827,375.2735839676477,385.6399669373853,41.040464200795846,C
248,Julia Brownley,House,B001285,California,26,Democratic,2.0,41.52,33.0,92.95,6.0,21.904465909329257,8.955223880597014,71.2978078595404,6.0,59.13559933815149,8.955223880597014,5.024177125139529,1.0,8.426801580033171,2.0,53.7526008847401,8.0,28.726124630611704,-0.299,26.762889346898305,370.6451360348978,386.2521017877003,41.24810545927103,C
254,George Whitesides,House,W000830,California,27,Democratic,0.0,17.96,11.0,49.61,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,4.0,41.17378192710424,7.0,97.1661732421208,3.0,12.585644586546668,0.01,52.65764643003651,422.2986146481368,438.73214049050716,59.34289095883162,B
255,Judy Chu,House,C001080,California,28,Democratic,4.0,68.75,20.0,72.46,30.0,82.10807318700654,10.033444816053512,79.37316915801588,8.0,53.70893109952266,2.6755852842809364,55.825911210175164,2.0,16.05237260234553,2.0,53.7526008847401,15.0,60.15302407259926,-0.483,15.176594509416919,469.09335802051316,500.8703619186865,78.1750858063219,B
263,Luz Rivas,House,R000620,California,29,Democratic,2.61,50.01,1.0,24.72,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,1.0,8.426801580033171,1.0,39.43050374901458,20.0,80.01354822493076,0.01,52.65764643003651,313.3577232184917,346.6809266145693,28.564096450931515,C
264,Laura Friedman,House,F000483,California,30,Democratic,1.0,28.58,5.0,33.95,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,3.0,27.16957829049509,3.0,67.5992579029909,22.0,85.90416025092011,0.01,52.65764643003651,354.8138988489323,394.63572129192966,44.114152734560854,B
265,Gilbert Ray Cisneros,House,C001123,California,31,Democratic,2.61,50.01,4.0,31.52,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,1.0,8.426801580033171,2.0,53.7526008847401,10.0,37.16503994366705,-0.376,21.44395779416806,348.74346213734356,365.44374687930326,34.36275633759106,C
266,Brad Sherman,House,S000344,California,32,Democratic,4.0,68.75,14.0,57.63,22.0,63.85253062129688,4.081632653061225,27.39058976523936,18.0,27.5403355317169,3.339517625231911,48.30111487484117,2.0,16.05237260234553,3.0,67.5992579029909,17.0,68.83674261864982,-0.343,23.64471587108091,430.0038329054287,464.68755530243493,67.81973696022617,B
280,Pete Aguilar,House,A000371,California,33,Democratic,0.0,17.96,2.0,26.9,1.0,12.954785072442082,2.631578947368421,17.178953148979055,0.0,74.04805385774985,0.0,81.8280569744659,2.0,16.05237260234553,2.0,53.7526008847401,7.0,24.877091667755064,-0.316,25.53404679037714,279.4201430137071,289.93866702821924,14.43753958811545,F
285,Jimmy Gomez,House,G000585,California,34,Democratic,1.0,28.58,14.0,57.63,18.0,52.87125345168633,5.056179775280898,35.62675505009394,20.0,23.13272822195749,5.617977528089887,24.455298393481694,2.0,16.05237260234553,2.0,53.7526008847401,28.0,96.22798201865997,-0.549,11.988626229163469,306.4928142255687,337.82321313755256,25.998566573885128,C
289,Norma J. Torres,House,T000474,California,35,Democratic,2.0,41.52,10.0,46.93,9.0,28.652703859175904,6.474820143884892,48.80830288331307,4.0,64.39232862901818,2.877697841726619,53.544910040918616,3.0,27.16957829049509,4.0,79.35613124048218,8.0,28.726124630611704,-0.37,21.835001536137888,413.590607103071,429.98683819947803,56.36104152612429,B
294,Ted Lieu,House,L000582,California,36,Democratic,1.0,28.58,23.0,78.77,15.0,44.43969539103706,5.5762081784386615,40.34830859201186,11.0,45.47009028662653,4.089219330855019,39.8902897463864,2.0,16.05237260234553,2.0,53.7526008847401,21.0,83.12368300934754,-0.371,21.769543758573317,344.65577483474533,377.05633169540477,38.15777197005792,C
299,Sydney Kamlager-Dove,House,K000400,California,37,Democratic,0.0,17.96,3.0,29.17,14.0,41.6657464384262,4.878048780487805,34.054841092931795,24.0,15.616505557887805,8.362369337979095,7.029338128982632,1.0,8.426801580033171,1.0,39.43050374901458,33.0,99.092571905933,-0.549,11.988626229163469,201.66611157219705,222.8585750515188,4.991309730767494,F
300,Linda T. Sánchez,House,S001156,California,38,Democratic,1.0,28.58,19.0,70.17,9.0,28.652703859175904,7.43801652892562,57.92612520436503,9.0,50.96287062308824,7.43801652892562,11.308935595883929,1.0,8.426801580033171,1.0,39.43050374901458,10.0,37.16503994366705,-0.508,13.908389340459347,289.0872459539328,301.84155398205957,16.926042461953138,C
311,Mark Takano,House,T000472,California,39,Democratic,1.0,28.58,7.0,39.01,8.0,26.29814210764768,6.299212598425196,47.138572150839764,6.0,59.13559933815149,4.724409448818897,33.09999464348166,1.0,8.426801580033171,1.0,39.43050374901458,7.0,24.877091667755064,-0.46,16.409212206193498,266.3270448958935,275.1375957033435,11.70413511003489,F
317,Young Kim,House,K000397,California,40,Republican,8.0,97.09,25.0,82.47,38.0,93.11569706982918,19.19191919191919,99.86731052609517,0.0,74.04805385774985,0.0,81.8280569744659,7.0,82.4013525403751,0.0,26.42050798688046,1.0,8.37753182204899,0.254,72.87009552366125,586.3667403077899,643.2755138493314,97.8290898159276,A
319,Ken Calvert,House,C000059,California,41,Republican,8.0,97.09,3.0,29.17,15.0,44.43969539103706,15.0,97.75063542935708,2.0,69.38862973503694,2.0,63.27069391724888,7.0,82.4013525403751,0.0,26.42050798688046,2.0,10.326622060723977,0.34,78.81446014166033,496.0669296026076,520.7382489268177,82.9283102700843,B
335,Robert Garcia,House,G000598,California,42,Democratic,2.0,41.52,11.0,49.61,9.0,28.652703859175904,3.7037037037037033,24.470731306139896,21.0,21.085784074731496,8.641975308641975,6.017940345088557,1.0,8.426801580033171,1.0,39.43050374901458,18.0,72.84683167559905,-0.385,20.86509328041717,260.13466824894607,281.7985216991072,12.885189805064845,F
336,Maxine Waters,House,W000187,California,43,Democratic,0.0,17.96,4.0,31.52,0.0,11.52343183605839,0.0,5.76075667999282,2.0,69.38862973503694,5.263157894736842,27.73797314613251,2.0,16.05237260234553,2.0,53.7526008847401,27.0,95.16250692017434,-0.655,7.910592713791498,248.3020878737131,272.91324537286556,11.327373072271063,F
353,Nanette Diaz Barragán,House,B001300,California,44,Democratic,0.0,17.96,19.0,70.17,6.0,21.904465909329257,3.296703296703297,21.523831426911105,16.0,32.325328825878344,8.791208791208792,5.526829221018447,1.0,8.426801580033171,1.0,39.43050374901458,19.0,76.58188276085369,-0.501,14.255986960882595,234.1017466458722,253.69837488546918,8.428345260461956,F
357,Derek Tran,House,T000491,California,45,Democratic,0.0,17.96,10.0,46.93,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,6.0,70.75199055457321,8.0,98.83389295237525,1.0,8.37753182204899,0.01,52.65764643003651,452.52805458335024,468.2336539099533,68.91986717807605,B
358,J. Luis Correa,House,C001110,California,46,Democratic,2.0,41.52,18.0,67.79,19.0,55.67188160600707,8.482142857142858,67.33558635762621,0.0,74.04805385774985,0.0,81.8280569744659,1.0,8.426801580033171,3.0,67.5992579029909,11.0,41.66284574152677,-0.279,28.24578146441962,433.95289252041323,458.16127422457265,65.7542453214475,B
362,Dave Min,House,M001241,California,47,Democratic,0.0,17.96,1.0,24.72,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,4.0,41.17378192710424,6.0,93.86426109559211,3.0,12.585644586546668,0.01,52.65764643003651,390.8047903550794,406.0127507860494,48.050498605399035,B
363,Darrell Issa,House,I000056,California,48,Republican,3.0,55.46,4.0,31.52,1.0,12.954785072442082,1.1363636363636365,9.612182167278865,9.0,50.96287062308824,10.227272727272728,2.248574638278411,7.0,82.4013525403751,0.0,26.42050798688046,7.0,24.877091667755064,0.479,86.62609411595837,315.6397649034056,337.16328425952696,25.812293676046593,C
374,Mike Levin,House,L000593,California,49,Democratic,4.0,68.75,8.0,41.61,40.0,94.79939163129319,12.38390092879257,91.62691553255715,10.0,48.212236828817936,3.095975232198142,51.06854614355285,5.0,56.41653394054272,8.0,98.83389295237525,4.0,15.168351001563051,-0.328,24.68472795988203,576.0753756283852,591.9236210951606,94.20198929309036,A
377,Scott H. Peters,House,P000608,California,50,Democratic,5.0,79.97,19.0,70.17,30.0,82.10807318700654,14.084507042253522,96.29729143205613,5.0,61.79114221889526,2.3474178403755865,59.48549878394691,3.0,27.16957829049509,5.0,88.12303007801532,16.0,64.58979055379397,-0.191,35.19727075758372,583.4488296834108,662.9716491376647,98.5787961868496,A
383,Sara Jacobs,House,J000305,California,51,Democratic,0.0,17.96,10.0,46.93,8.0,26.29814210764768,3.4934497816593884,22.921938053696035,5.0,61.79114221889526,2.1834061135371177,61.2859184265206,1.0,8.426801580033171,1.0,39.43050374901458,13.0,50.933113219618,-0.39,20.54752167367238,256.34758635549855,272.0378207882356,11.181491387606696,F
385,Juan Vargas,House,V000130,California,52,Democratic,1.0,28.58,9.0,44.26,29.0,80.20231988374769,11.153846153846157,86.1445527446561,10.0,48.212236828817936,3.8461538461538463,42.58544585699096,1.0,8.426801580033171,2.0,53.7526008847401,13.0,50.933113219618,-0.396,20.170249035198356,345.98529924435695,367.0967124872314,34.89445081600731,C
391,Diana DeGette,House,D000197,Colorado,1,Democratic,1.0,28.58,6.0,36.45,8.0,26.29814210764768,4.651162790697675,32.09240943860373,9.0,50.96287062308824,5.232558139534884,28.03084667833218,1.0,8.426801580033171,1.0,39.43050374901458,29.0,97.09363628946844,-0.431,18.053362811808675,249.6960638195936,276.19388943941294,11.886127160803833,F
405,Joe Neguse,House,N000191,Colorado,2,Democratic,10.0,99.53,39.0,96.97,17.0,50.05634776098249,12.318840579710146,91.38543670379725,0.0,74.04805385774985,0.0,81.8280569744659,1.0,8.426801580033171,1.0,39.43050374901458,20.0,80.01354822493076,-0.421,18.643478232252548,532.0660920139011,579.5983692283961,92.84715693895438,A
408,Jeff Hurd,House,H001100,Colorado,3,Republican,1.0,28.58,1.0,24.72,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,7.0,82.4013525403751,0.0,26.42050798688046,5.0,18.081048527850513,0.01,52.65764643003651,318.3903501548683,332.53002476941305,24.52424757573826,C
409,Lauren Boebert,House,B000825,Colorado,4,Republican,0.0,17.96,2.0,26.9,13.0,38.93270336349156,6.806282722513089,51.963285616853625,3.0,66.92818611510303,1.5706806282722512,67.77242864757108,7.0,82.4013525403751,0.0,26.42050798688046,9.0,32.83606432818852,0.742,95.48039816507278,310.9412466490564,335.9957304443099,25.484440780674607,C
411,Jeff Crank,House,C001137,Colorado,5,Republican,0.0,17.96,0.0,22.64,16.98,50.0,6.6,50.0,8.46,52.44714353797881,3.19,50.0,7.0,82.4013525403751,0.0,26.42050798688046,5.0,18.081048527850513,0.01,52.65764643003651,295.0703501548683,308.1743865603694,18.356036058373643,C
412,Jason Crow,House,C001121,Colorado,6,Democratic,1.0,28.58,8.0,41.61,27.0,76.04115762197488,8.940397350993377,71.17714986041224,16.0,32.325328825878344,5.298013245033113,27.406202164856396,1.0,8.426801580033171,2.0,53.7526008847401,11.0,41.66284574152677,-0.332,24.405019448627534,318.23078794154014,335.37240245418565,25.310304951856267,C
415,Brittany Pettersen,House,P000620,Colorado,7,Democratic,6.0,88.33,35.0,94.6,31.0,83.89405536735313,11.787072243346008,89.21354316132107,4.0,64.39232862901818,1.520912547528517,68.27930530283356,0.0,3.907365458393837,0.0,26.42050798688046,8.0,28.726124630611704,-0.356,22.763239774059603,480.9381054069353,525.238820470765,83.9053143790385,B
