name,bioguide_id,num_cross_party_cosponsored_bills
Elissa Slotkin,S001208,14
Cynthia M. Lummis,L000571,14
Roger Marshall,M001198,14
Haley M. Stevens,S001215,14
Robin L. Kelly,K000385,14
Todd Young,Y000064,14
Adam B. Schiff,S001150,14
Lisa Blunt Rochester,B001303,13
Cindy Hyde-Smith,H001079,13
Nikema Williams,W000788,13
Madeleine Dean,D000631,13
Nydia M. VelÃÂ¡zquez,V000081,13
Bonnie Watson Coleman,W000822,13
Suhas Subramanyam,S001230,13
April McClain Delaney,M001232,13
James P. McGovern,M000312,13
Melanie A. Stansbury,S001218,13
James A. Himes,H001047,12
Robert J. Wittman,W000804,12
Ami Bera,B001287,12
Rick Scott,S001217,12
Doris O. Matsui,M001163,12
Valerie P. Foushee,F000477,12
Kelly Morrison,M001234,12
John Kennedy,K000393,12
LaMonica McIver,M001229,12
Teresa Leger Fernandez,L000273,12
Stephen F. Lynch,L000562,12
Martin T. Heinrich,H001046,12
Ted Budd,B001305,12
Emilia Strong Sykes,S001223,12
Mike Kelly,K000376,12
Marcy Kaptur,K000009,12
Daniel Meuser,M001204,12
Joe Courtney,C001069,12
Maggie Goodlander,G000604,12
Robert Garcia,G000598,11
Pete Ricketts,R000618,11
Eric Swalwell,S001193,11
Betty McCollum,M001143,11
Lori Trahan,T000482,11
Maxwell Frost,F000476,11
Adam Smith,S000510,11
Joni Ernst,E000295,11
Derrick Van Orden,V000135,11
John Barrasso,B001261,11
George Whitesides,W000830,11
Gus M. Bilirakis,B001257,11
Janelle S. Bynum,B001326,11
Gregory W. Meeks,M001137,11
Nick LaLota,L000598,11
Joyce Beatty,B001281,11
Adriano Espaillat,E000297,11
Joaquin Castro,C001091,11
Sara Jacobs,J000305,10
Glenn Thompson,T000467,10
Robert Menendez,M001226,10
Jamie Raskin,R000606,10
Norma J. Torres,T000474,10
Herbert C. Conaway,C001136,10
Jake Auchincloss,A000148,10
Mike Carey,C001126,10
Doug LaMalfa,L000578,10
Dan Crenshaw,C001120,10
Jack Bergman,B001301,10
CLEO FIELDS,F000110,10
Derek Tran,T000491,10
RaÃÂºl M. Grijalva,G000551,10
Delia C. Ramirez,R000617,10
Alma S. Adams,A000370,9
Jonathan L. Jackson,J000309,9
Stacey E. Plaskett,P000610,9
Juan Vargas,V000130,9
Shontel M. Brown,B001313,9
Richard E. Neal,N000015,9
John R. Curtis,C001114,9
Andy Kim,K000394,9
John Garamendi,G000559,9
Mark E. Amodei,A000369,9
Marilyn Strickland,S001159,9
Sarah Elfreth,E000301,9
David P. Joyce,J000295,9
Aumua Amata Coleman Radewagen,R000600,9
Angela Alsobrooks,A000382,9
Lindsey Graham,G000359,9
Janice D. Schakowsky,S001145,9
Rick Larsen,L000560,9
Gabe Amo,A000380,9
Tom Cotton,C001095,9
Charles E. Schumer,S000148,9
Blake D. Moore,M001213,9
Josh Hawley,H001089,8
Sylvia R. Garcia,G000587,8
Deb Fischer,F000463,8
Brad Finstad,F000475,8
Steny H. Hoyer,H000874,8
Mike Levin,L000593,8
Jason Crow,C001121,8
Sean Casten,C001117,8
Russ Fulcher,F000469,8
Lance Gooden,G000589,8
Jared Huffman,H001068,8
