primary_name,primary_bioguide_id,num_bills_with_cross_party_cosponsors,rank
Dan Crenshaw,C001120,3,187
Dina Titus,T000468,3,188
Nydia M. VelÃÂ¡zquez,V000081,3,189
Mike Thompson,T000460,3,190
Brian J. Mast,M001199,3,191
Tom Barrett,B001321,3,192
Mike Bost,B001295,3,193
John Thune,T000250,3,194
Debbie Wasserman Schultz,W000797,3,195
Bill Hagerty,H000601,3,196
Troy Balderson,B001306,3,197
Emilia Strong Sykes,S001223,3,198
Scott Perry,P000605,3,199
Mario Diaz-Balart,D000600,3,200
Bryan Steil,S001213,3,201
Tim Scott,S001184,3,202
Doris O. Matsui,M001163,3,203
Gwen Moore,M001160,3,204
Mark Alford,A000379,3,205
Kat Cammack,C001039,3,206
Elijah Crane,C001132,2,207
Sam Graves,G000546,2,208
Seth Magaziner,M001223,2,209
Kevin Hern,H001082,2,210
David Scott,S001157,2,211
Daniel Webster,W000806,2,212
Marcy Kaptur,K000009,2,213
Shri Thanedar,T000488,2,214
Martin T. Heinrich,H001046,2,215
Ryan K. Zinke,Z000018,2,216
Robert E. Latta,L000566,2,217
Robert Garcia,G000598,2,218
Dale W. Strong,S001220,2,219
Laurel M. Lee,L000597,2,220
Timothy M. Kennedy,K000402,2,221
Suhas Subramanyam,S001230,2,222
Brendan F. Boyle,B001296,2,223
Gabe Amo,A000380,2,224
John W. Rose,R000612,2,225
Max L. Miller,M001222,2,226
Hillary J. Scholten,S001221,2,227
Mary Gay Scanlon,S001205,2,228
Clay Higgins,H001077,2,229
Carlos A. Gimenez,G000593,2,230
Sylvester Turner,T000489,2,231
J. French Hill,H001072,2,232
Cynthia M. Lummis,L000571,2,233
Lisa C. McClain,M001136,2,234
Erin Houchin,H001093,2,235
Chellie Pingree,P000597,2,236
Kim Schrier,S001216,2,237
Bill Huizenga,H001058,2,238
Stephen F. Lynch,L000562,2,239
Kevin Cramer,C001096,2,240
Lauren Underwood,U000040,2,241
Suzanne Bonamici,B001278,2,242
Brian Babin,B001291,2,243
Tina Smith,S001203,2,244
Ann Wagner,W000812,2,245
Sheldon Whitehouse,W000802,2,246
Ron Johnson,J000293,2,247
John Boozman,B001236,2,248
Mike Collins,C001129,2,249
Troy A. Carter,C001125,2,250
Mike Quigley,Q000023,2,251
Steven Horsford,H001066,2,252
Bradley Scott Schneider,S001190,2,253
Eugene Simon Vindman,V000138,2,254
Rand Paul,P000603,2,255
Michael Cloud,C001115,2,256
Jared F. Golden,G000592,2,257
Norma J. Torres,T000474,2,258
Vicente Gonzalez,G000581,2,259
Barry Moore,M001212,2,260
John Garamendi,G000559,2,261
"Robert C. ""Bobby"" Scott",S000185,2,262
Donald S. Beyer,B001292,2,263
Sharice Davids,D000629,2,264
Sean Casten,C001117,2,265
Morgan McGarvey,M001220,2,266
Michael T. McCaul,M001157,2,267
Jared Huffman,H001068,2,268
Jason Smith,S001195,2,269
Teresa Leger Fernandez,L000273,2,270
Jill N. Tokuda,T000487,2,271
Virginia Foxx,F000450,2,272
Michelle Fischbach,F000470,2,273
H. Morgan Griffith,G000568,2,274
Stacey E. Plaskett,P000610,2,275
Alexandria Ocasio-Cortez,O000172,2,276
Suzan K. DelBene,D000617,2,277
J. Luis Correa,C001110,2,278
Lori Trahan,T000482,2,279
Greg Landsman,L000601,2,280
Laura Gillen,G000602,2,281
Elizabeth A. Warren,W000817,2,282
Ami Bera,B001287,2,283
Michael Guest,G000591,2,284
Guy Reschenthaler,R000610,2,285
Ruben Gallego,G000574,2,286
Pete Sessions,S000250,2,287
Julia Brownley,B001285,2,288
Gary J. Palmer,P000609,2,289
Warren Davidson,D000626,1,290
Sylvia R. Garcia,G000587,1,291
Victoria Spartz,S000929,1,292
Linda T. SÃÂ¡nchez,S001156,1,293
Trent Kelly,K000388,1,294
Tim Walberg,W000798,1,295
Kevin Mullin,M001225,1,296
Robert P. Bresnahan,B001327,1,297
Frederica S. Wilson,W000808,1,298
Veronica Escobar,E000299,1,299
Mark Pocan,P000607,1,300
Henry Cuellar,C001063,1,301
Richard E. Neal,N000015,1,302
Herbert C. Conaway,C001136,1,303
Michael R. Turner,T000463,1,304
Cliff Bentz,B000668,1,305
James C. Moylan,M001219,1,306
Haley M. Stevens,S001215,1,307
Chip Roy,R000614,1,308
James Comer,C001108,1,309
Janice D. Schakowsky,S001145,1,310
Scott Fitzgerald,F000471,1,311
Laura Friedman,F000483,1,312
LaMonica McIver,M001229,1,313
Madeleine Dean,D000631,1,314
Russell Fry,F000478,1,315
Ayanna Pressley,P000617,1,316
Sanford D. Bishop,B000490,1,317
Tim Moore,M001236,1,318
Mark Takano,T000472,1,319
Eleanor Holmes Norton,N000147,1,320
Celeste Maloy,M001228,1,321
Sarah McBride,M001238,1,322
Tommy Tuberville,T000278,1,323
Brandon Gill,G000603,1,324
Aumua Amata Coleman Radewagen,R000600,1,325
Nicholas J. Begich,B001323,1,326
Mark B. Messmer,M001233,1,327
Andrew Ogles,O000175,1,328
"Eric A. ""Rick"" Crawford",C001087,1,329
Zoe Lofgren,L000397,1,330
Bernard Sanders,S000033,1,331
Charles E. Schumer,S000148,1,332
Bennie G. Thompson,T000193,1,333
Abraham J. Hamadeh,H001098,1,334
Nancy Mace,M000194,1,335
Andy Kim,K000394,1,336
